Respondent,Gender,University,Level of Education,Province,Fields of Study,Type of AI,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15,PE16,PE17,PE18,PE19,PE20,CU1,CU2,CU3,CU4,ATU1,ATU2,ATU3,ATU4,ATU5,AUP1,AUP2,AUP3,AUP4,AUP5,MIUA1,MIUA2,MIUA3,MIUA4,MIUA5,Gender_Label,University_Label,Education_Label,Province_Label,Field_Label,AI_Label,PE_Score,CU_Score,ATU_Score,AUP_Score,MIUA_Score,PE_S,CU_S,ATU_S,AUP_S,MIUA_S
133,1,1,2.0,2.0,0.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,Canva - IA,3.7,3.25,2.6,3.0,3.8,0.5073632562552359,-1.457640112270052,-0.1154326971038575,-0.8380072652350357,0.07083148981203774
134,1,1,2.0,2.0,0.0,6.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,Tome.app,2.9,1.75,3.0,2.8,2.0,-0.35938917242373136,0.43549247798685464,0.20753325330374156,-1.1909230550778134,0.3813095201548038
135,1,1,2.0,2.0,0.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.85,3.5,1.6,3.2,3.0,1.374115684934203,-0.321760558115908,0.5304992037113406,1.2794874738216282,0.3813095201548038
136,2,1,2.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.5,2.25,2.6,2.4,2.6,1.634141413537893,0.8141189960382359,1.4993970549341364,0.9265716839788514,1.6232216415258667
137,2,1,2.0,2.0,0.0,11.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,2.55,2.25,2.6,2.4,2.6,-0.09936344382004134,-0.321760558115908,0.20753325330374156,-0.4850914753922587,0.3813095201548038
138,2,1,2.0,2.0,0.0,11.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.35,2.25,2.8,2.6,2.4,1.5474661706699968,1.5713720321409985,0.20753325330374156,0.22074010429329594,0.3813095201548038
139,2,1,2.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.25,2.75,1.6,2.0,1.6,-0.18603868668793777,0.43549247798685464,0.20753325330374156,-0.8380072652350357,-0.23964654053072765
140,2,1,2.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.75,1.0,2.6,1.8,3.2,1.634141413537893,-1.0790135942186705,0.5304992037113406,0.9265716839788514,1.0022655808403353
141,2,1,2.0,2.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,3.05,2.0,3.0,2.2,3.4,-0.012688200952144922,0.43549247798685464,0.853465154118939,0.22074010429329594,-0.5501245708734936
142,2,1,2.0,2.0,0.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Others,3.35,1.5,2.8,2.2,2.8,-0.27271392955583496,-0.7003870761672892,-1.730262449141851,-0.4850914753922587,-1.1710806315590252
143,2,1,2.0,2.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.85,2.75,3.0,2.0,3.0,-1.052791115366905,0.8141189960382359,-1.0843305483266532,-0.132175685549481,-1.7920366922445565
144,1,1,2.0,2.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,3.85,2.25,3.2,3.4,3.0,0.5073632562552359,-0.321760558115908,0.5304992037113406,0.5736558941360737,0.07083148981203774
145,2,1,2.0,2.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Bing,4.0,3.0,3.8,3.2,3.8,-0.7927653867632151,0.43549247798685464,-0.761364597919055,-0.4850914753922587,-1.1710806315590252
146,2,1,2.0,2.0,0.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.0,2.25,3.0,2.4,3.0,-1.8328683011779758,0.8141189960382359,0.20753325330374156,0.5736558941360737,0.3813095201548038
147,2,1,2.0,2.0,0.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,3.95,3.5,3.0,2.8,3.0,-0.09936344382004134,-0.7003870761672892,0.20753325330374156,-1.5438388449205906,-1.1710806315590252
148,2,1,2.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Canva - IA,2.95,2.75,3.0,2.2,2.6,-0.44606441529162855,-0.7003870761672892,-1.730262449141851,-2.249670424606146,-1.4815586619017909
149,2,2,2.0,2.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,Female,Private,Undergraduate (S1),North Sumatera (Medan),,Bing,4.0,1.75,3.2,3.2,3.4,-0.09936344382004134,-0.321760558115908,-0.761364597919055,-0.132175685549481,-0.23964654053072765
150,2,1,2.0,2.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,3.05,2.75,3.4,2.8,2.4,-0.09936344382004134,-0.7003870761672892,0.20753325330374156,0.22074010429329594,0.3813095201548038
151,2,1,2.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.9,2.0,1.8,2.4,2.0,-0.09936344382004134,-0.321760558115908,0.20753325330374156,-0.132175685549481,0.3813095201548038
152,2,1,2.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.45,3.0,2.2,2.6,1.6,0.07398704191575227,-1.457640112270052,-0.1154326971038575,-0.4850914753922587,-0.23964654053072765
153,2,1,2.0,2.0,0.0,11.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.35,2.25,3.2,3.0,2.8,1.4607909278020996,-1.0790135942186705,0.20753325330374156,0.22074010429329594,-0.23964654053072765
154,2,1,2.0,2.0,0.0,11.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,2.6,2.75,2.4,2.4,2.0,-0.18603868668793777,-0.321760558115908,1.176431104526538,-0.4850914753922587,0.07083148981203774
155,2,1,2.0,2.0,0.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Others,2.0,3.0,3.0,3.0,3.0,-0.012688200952144922,-0.7003870761672892,-0.43839864751145585,0.9265716839788514,0.3813095201548038
156,2,1,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Female,Public,,North Sumatera (Medan),,ChatGPT,3.0,2.0,3.0,1.8,2.0,1.634141413537893,-0.7003870761672892,1.8223630053417355,0.5736558941360737,1.9336996718686328
157,2,1,2.0,2.0,0.0,11.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,2.8,2.0,1.8,1.4,1.8,-0.09936344382004134,0.43549247798685464,0.20753325330374156,-0.4850914753922587,-0.5501245708734936
158,2,1,2.0,2.0,0.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.0,2.25,2.4,2.6,2.6,1.5474661706699968,1.5713720321409985,1.8223630053417355,2.3382348433499605,1.9336996718686328
159,2,1,2.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,3.0,2.0,3.0,2.8,3.0,1.634141413537893,-0.321760558115908,-2.6991603003646474,-0.8380072652350357,1.0022655808403353
160,1,1,2.0,2.0,0.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.0,2.25,3.0,2.6,3.0,-2.5262702441211498,-0.321760558115908,-0.761364597919055,-0.4850914753922587,-0.23964654053072765
161,2,1,2.0,2.0,0.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,3.1,1.5,2.8,2.4,2.6,-0.27271392955583496,-0.321760558115908,0.20753325330374156,-0.8380072652350357,0.3813095201548038
162,2,1,2.0,2.0,0.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Others,3.9,1.75,3.0,2.8,2.6,-0.35938917242373136,-0.321760558115908,-0.43839864751145585,0.9265716839788514,0.07083148981203774
163,2,1,2.0,2.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,DeepL,2.95,2.25,3.6,2.4,2.8,-0.532739658159525,-0.7003870761672892,-0.761364597919055,-0.4850914753922587,-0.5501245708734936
164,1,1,3.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,Male,Public,,North Sumatera (Medan),,Canva - IA,3.05,2.0,2.6,3.2,3.0,-1.3128168439705958,-1.457640112270052,-0.761364597919055,0.5736558941360737,-0.8606026012162591
165,2,1,2.0,2.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,4.0,2.0,4.0,3.0,4.0,-0.6194149010274214,-0.7003870761672892,-0.43839864751145585,-0.8380072652350357,-0.23964654053072765
166,1,1,2.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,Canva - IA,3.0,2.75,3.0,2.4,2.4,0.9407394705947195,0.43549247798685464,1.4993970549341364,0.5736558941360737,1.9336996718686328
167,2,1,2.0,2.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,3.95,3.5,4.0,4.0,4.0,-0.09936344382004134,-0.321760558115908,-0.1154326971038575,-0.4850914753922587,0.07083148981203774
168,2,1,3.0,2.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,Female,Public,,North Sumatera (Medan),,Canva - IA,4.0,2.25,1.2,2.2,3.4,-0.18603868668793777,0.056865959935473324,-0.43839864751145585,-0.132175685549481,-0.5501245708734936
169,2,1,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Canva - IA,1.6,2.25,2.4,2.4,2.6,0.42068801338733874,-0.7003870761672892,0.20753325330374156,0.22074010429329594,0.6917875504975699
170,1,1,2.0,2.0,0.0,11.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,2.9,2.25,3.0,2.2,3.0,0.8540642277268223,-0.7003870761672892,-0.1154326971038575,-0.4850914753922587,0.3813095201548038
171,1,1,2.0,2.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.85,2.25,2.6,3.2,2.8,-0.8794406296311122,1.1927455140896173,-0.43839864751145585,0.9265716839788514,-0.23964654053072765
172,2,1,2.0,2.0,0.0,11.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,2.75,2.0,2.4,2.4,2.4,0.1606622847836487,0.8141189960382359,1.176431104526538,0.5736558941360737,0.07083148981203774
173,2,1,2.0,2.0,0.0,7.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Gamma,2.3,1.5,2.4,3.0,2.2,1.4607909278020996,-2.2148931483728145,-0.761364597919055,-0.4850914753922587,0.07083148981203774
174,2,1,2.0,2.0,0.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Tome.app,2.7,2.0,2.6,2.2,2.6,-0.35938917242373136,-1.0790135942186705,-0.761364597919055,0.5736558941360737,0.07083148981203774
175,2,2,2.0,2.0,0.0,11.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Female,Private,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.6,2.75,3.8,3.0,4.0,-0.7927653867632151,-0.7003870761672892,-0.43839864751145585,-0.132175685549481,0.3813095201548038
176,1,1,2.0,2.0,0.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Male,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.0,2.25,2.8,2.4,2.8,-1.7461930583100795,-0.321760558115908,-0.761364597919055,-1.1909230550778134,-1.1710806315590252
177,2,1,2.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,ChatGPT,2.95,2.5,2.6,2.6,2.4,0.9407394705947195,1.1927455140896173,0.5304992037113406,0.9265716839788514,0.6917875504975699
178,2,1,2.0,4.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Canva - IA,3.3,2.0,3.0,2.8,3.2,-0.09936344382004134,0.8141189960382359,0.20753325330374156,0.5736558941360737,0.3813095201548038
179,2,1,2.0,4.0,0.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Canva - IA,3.55,2.0,2.8,2.4,3.0,0.1606622847836487,0.43549247798685464,-0.761364597919055,-0.8380072652350357,0.3813095201548038
180,2,1,2.0,4.0,0.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,ChatGPT,2.55,3.25,2.6,3.2,2.6,-1.7461930583100795,0.056865959935473324,-1.4072964987342522,-1.1909230550778134,-1.1710806315590252
181,2,1,2.0,2.0,0.0,11.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Female,Public,Undergraduate (S1),North Sumatera (Medan),,Perplexity.AI,3.15,3.0,3.6,3.0,2.8,0.24733752765154587,0.8141189960382359,0.20753325330374156,0.5736558941360737,0.3813095201548038
